# seconds, nanoseconds, trueX, trueY, trueZ, trueYaw, odomX, odomY, odomZ, odomYaw
1.731226752000000000e+09,4.730683200000000000e+08,-1.254056114703416824e-02,2.444930942147038877e-05,5.000019446015357971e-02,4.699039272964000702e-04,-1.239244919270277023e-02,1.562220290907134768e-06,0.000000000000000000e+00,3.072473627980798483e-04
1.731226752000000000e+09,5.729276160000000000e+08,-1.257480122148990631e-02,2.444250640110112727e-05,5.000015720725059509e-02,4.693677765317261219e-04,-1.250861957669258118e-02,1.526659502815164160e-06,0.000000000000000000e+00,3.050364321097731590e-04
1.731226752000000000e+09,6.730359680000000000e+08,-1.261004712432622910e-02,2.445327118039131165e-05,5.000012740492820740e-02,4.686824104283004999e-04,-1.250861957669258118e-02,1.526659502815164160e-06,0.000000000000000000e+00,3.050364321097731590e-04
1.731226752000000000e+09,7.739168640000000000e+08,-1.264288555830717087e-02,2.444603705953340977e-05,5.000011995434761047e-02,4.682108992710709572e-04,-1.250861957669258118e-02,1.526659502815164160e-06,0.000000000000000000e+00,3.050364321097731590e-04
1.731226752000000000e+09,8.738999040000000000e+08,-1.267712004482746124e-02,2.443818084429949522e-05,5.000010132789611816e-02,4.677018150687217712e-04,-1.250861957669258118e-02,1.526659502815164160e-06,0.000000000000000000e+00,3.050364321097731590e-04
1.731226752000000000e+09,9.740558720000000000e+08,-1.271236222237348557e-02,2.444809433654882014e-05,5.000008270144462585e-02,4.670371708925813437e-04,-1.262736506760120392e-02,1.490573595219757408e-06,0.000000000000000000e+00,3.027664497494697571e-04
1.731226752000000000e+09,7.389288000000000000e+07,-1.274519693106412888e-02,2.444024903525132686e-05,5.000008642673492432e-02,4.665813466999679804e-04,-1.262736506760120392e-02,1.490573595219757408e-06,0.000000000000000000e+00,3.027664497494697571e-04
1.731226752000000000e+09,1.738651040000000000e+08,-1.278653834015130997e-02,2.571062577771954238e-05,5.000069737434387207e-02,5.072450148873031139e-04,-1.262736506760120392e-02,1.490573595219757408e-06,0.000000000000000000e+00,3.027664497494697571e-04
1.731226752000000000e+09,2.739105280000000000e+08,-1.281942054629325867e-02,2.571095137682277709e-05,5.000054836273193359e-02,5.065552541054785252e-04,-1.274517830461263657e-02,1.453356617275858298e-06,0.000000000000000000e+00,3.362053248565644026e-04
1.731226752000000000e+09,3.739831040000000000e+08,-1.285368762910366058e-02,2.570801370893605053e-05,5.000042170286178589e-02,5.058761453256011009e-04,-1.274517830461263657e-02,1.453356617275858298e-06,0.000000000000000000e+00,3.362053248565644026e-04
1.731226752000000000e+09,4.740785280000000000e+08,-1.288895402103662491e-02,2.572174707893282175e-05,5.000032484531402588e-02,5.050777108408510685e-04,-1.274517830461263657e-02,1.453356617275858298e-06,0.000000000000000000e+00,3.362053248565644026e-04
1.731226752000000000e+09,5.748445440000000000e+08,-1.292180828750133514e-02,2.571640106907580048e-05,5.000026896595954895e-02,5.045157740823924541e-04,-1.274517830461263657e-02,1.453356617275858298e-06,0.000000000000000000e+00,3.362053248565644026e-04
1.731226752000000000e+09,6.749200000000000000e+08,-1.295605394989252090e-02,2.570945252955425531e-05,5.000021308660507202e-02,5.039332900196313858e-04,-1.286391727626323700e-02,1.413601239619310945e-06,0.000000000000000000e+00,3.334948269184678793e-04
1.731226752000000000e+09,7.750014080000000000e+08,-1.299130450934171677e-02,2.571992808952927589e-05,5.000016838312149048e-02,5.032084300182759762e-04,-1.286391727626323700e-02,1.413601239619310945e-06,0.000000000000000000e+00,3.334948269184678793e-04
1.731226752000000000e+09,8.749307520000000000e+08,-1.302414573729038239e-02,2.571219738456420600e-05,5.000014975666999817e-02,5.027015577070415020e-04,-1.286391727626323700e-02,1.413601239619310945e-06,0.000000000000000000e+00,3.334948269184678793e-04
1.731226752000000000e+09,9.748889600000000000e+08,-1.305838301777839661e-02,2.570357537479139864e-05,5.000012367963790894e-02,5.021606921218335629e-04,-1.297684852033853531e-02,1.376061845803633332e-06,0.000000000000000000e+00,3.312995249871164560e-04
1.731226752000000000e+09,7.489731200000000000e+07,-1.309362612664699554e-02,2.571269760665018111e-05,5.000010132789611816e-02,5.014677299186587334e-04,-1.297684852033853531e-02,1.376061845803633332e-06,0.000000000000000000e+00,3.312995249871164560e-04
1.731226752000000000e+09,1.748809920000000000e+08,-1.312646362930536270e-02,2.570398646639660001e-05,5.000010132789611816e-02,5.009847809560596943e-04,-1.297684852033853531e-02,1.376061845803633332e-06,0.000000000000000000e+00,3.312995249871164560e-04
1.731226752000000000e+09,2.749559680000000000e+08,-1.316069625318050385e-02,2.569468597357627004e-05,5.000008642673492432e-02,5.004623089917004108e-04,-1.309302262961864471e-02,1.337699245596013498e-06,0.000000000000000000e+00,3.291791363153606653e-04
1.731226752000000000e+09,3.759367680000000000e+08,-1.320066861808300018e-02,2.735205271164886653e-05,5.000075697898864746e-02,5.383512470871210098e-04,-1.309302262961864471e-02,1.337699245596013498e-06,0.000000000000000000e+00,3.291791363153606653e-04
1.731226752000000000e+09,4.757304000000000000e+08,-1.323489472270011902e-02,2.695825423870701343e-05,5.000062659382820129e-02,5.405246047303080559e-04,-1.309302262961864471e-02,1.337699245596013498e-06,0.000000000000000000e+00,3.291791363153606653e-04
1.731226752000000000e+09,5.763211520000000000e+08,-1.327017694711685181e-02,2.697404670470859855e-05,5.000047758221626282e-02,5.396353080868721008e-04,-1.309302262961864471e-02,1.337699245596013498e-06,0.000000000000000000e+00,3.291791363153606653e-04
1.731226752000000000e+09,6.759546880000000000e+08,-1.330304238945245743e-02,2.696993215067777783e-05,5.000038444995880127e-02,5.389999132603406906e-04,-1.321340445429086685e-02,1.295180254601291381e-06,0.000000000000000000e+00,3.621463256422430277e-04
1.731226752000000000e+09,7.763504000000000000e+08,-1.333729736506938934e-02,2.696345109143294394e-05,5.000029876828193665e-02,5.383568932302296162e-04,-1.321340445429086685e-02,1.295180254601291381e-06,0.000000000000000000e+00,3.621463256422430277e-04
1.731226752000000000e+09,8.758736640000000000e+08,-1.337255444377660751e-02,2.697413583518937230e-05,5.000023171305656433e-02,5.375819164328277111e-04,-1.321340445429086685e-02,1.295180254601291381e-06,0.000000000000000000e+00,3.621463256422430277e-04
1.731226752000000000e+09,9.762136320000000000e+08,-1.340540125966072083e-02,2.696627780096605420e-05,5.000019818544387817e-02,5.370317376218736172e-04,-1.332957390695810318e-02,1.253258119504607748e-06,0.000000000000000000e+00,3.596777678467333317e-04
1.731226752000000000e+09,7.683926400000000000e+07,-1.343964133411645889e-02,2.695715556910727173e-05,5.000016093254089355e-02,5.364532116800546646e-04,-1.332957390695810318e-02,1.253258119504607748e-06,0.000000000000000000e+00,3.596777678467333317e-04
1.731226752000000000e+09,1.768426400000000000e+08,-1.347488816827535629e-02,2.696569936233572662e-05,5.000012740492820740e-02,5.357273621484637260e-04,-1.332957390695810318e-02,1.253258119504607748e-06,0.000000000000000000e+00,3.596777678467333317e-04
1.731226752000000000e+09,2.768088640000000000e+08,-1.350772660225629807e-02,2.695628245419356972e-05,5.000011995434761047e-02,5.352140287868678570e-04,-1.332957390695810318e-02,1.253258119504607748e-06,0.000000000000000000e+00,3.596777678467333317e-04
1.731226752000000000e+09,3.767672000000000000e+08,-1.354196108877658844e-02,2.694607064768206328e-05,5.000010132789611816e-02,5.346635589376091957e-04,-1.344831846654415131e-02,1.210695927511551417e-06,0.000000000000000000e+00,3.572155837900936604e-04
1.731226752000000000e+09,4.768778240000000000e+08,-1.357720326632261276e-02,2.695373768801800907e-05,5.000008270144462585e-02,5.339592462405562401e-04,-1.344831846654415131e-02,1.210695927511551417e-06,0.000000000000000000e+00,3.572155837900936604e-04
1.731226752000000000e+09,5.769474560000000000e+08,1.311363279819488525e-02,-8.195156988222151995e-05,4.999694228172302246e-02,-6.510196253657341003e-03,-1.344831846654415131e-02,1.210695927511551417e-06,0.000000000000000000e+00,3.572155837900936604e-04
1.731226752000000000e+09,6.769552640000000000e+08,6.333389878273010254e-02,-4.593123157974332571e-04,5.000070855021476746e-02,-1.009299140423536301e-02,4.964846000075340271e-02,4.827229713555425406e-05,0.000000000000000000e+00,5.886136787012219429e-04
1.731226752000000000e+09,7.770032000000000000e+08,1.130463182926177979e-01,-9.352400666102766991e-04,5.000055208802223206e-02,-9.065329097211360931e-03,4.964846000075340271e-02,4.827229713555425406e-05,0.000000000000000000e+00,5.886136787012219429e-04
1.731226752000000000e+09,8.779704960000000000e+08,1.627588272094726562e-01,-1.360057271085679531e-03,5.000043287873268127e-02,-8.036860264837741852e-03,4.964846000075340271e-02,4.827229713555425406e-05,0.000000000000000000e+00,5.886136787012219429e-04
1.731226752000000000e+09,9.777671040000000000e+08,2.124720513820648193e-01,-1.733719953335821629e-03,5.000034347176551819e-02,-7.007350213825702667e-03,2.187851965427398682e-01,4.792260588146746159e-04,0.000000000000000000e+00,4.498564638197422028e-03
1.731226752000000000e+09,7.804628800000000000e+07,2.621792852878570557e-01,-2.053057309240102768e-03,5.000082403421401978e-02,-5.975986830890178680e-03,2.187851965427398682e-01,4.792260588146746159e-04,0.000000000000000000e+00,4.498564638197422028e-03
1.731226752000000000e+09,1.778798720000000000e+08,3.118937313556671143e-01,-2.324191387742757797e-03,5.000063776969909668e-02,-4.944421350955963135e-03,2.187851965427398682e-01,4.792260588146746159e-04,0.000000000000000000e+00,4.498564638197422028e-03
1.731226752000000000e+09,2.778101120000000000e+08,3.616087734699249268e-01,-2.543965354561805725e-03,5.000049993395805359e-02,-3.911799285560846329e-03,2.187851965427398682e-01,4.792260588146746159e-04,0.000000000000000000e+00,4.498564638197422028e-03
1.731226752000000000e+09,3.780434560000000000e+08,4.113076329231262207e-01,-2.713670954108238220e-03,4.999491572380065918e-02,-3.043534932658076286e-03,3.878123462200164795e-01,1.563274767249822617e-03,0.000000000000000000e+00,8.361846208572387695e-03
1.731226752000000000e+09,4.779844480000000000e+08,4.609918892383575439e-01,-2.842779038473963737e-03,5.000073835253715515e-02,-2.283417619764804840e-03,3.878123462200164795e-01,1.563274767249822617e-03,0.000000000000000000e+00,8.361846208572387695e-03
1.731226752000000000e+09,5.778849920000000000e+08,5.107082128524780273e-01,-2.938399324193596840e-03,5.000057443976402283e-02,-1.600524759851396084e-03,3.878123462200164795e-01,1.563274767249822617e-03,0.000000000000000000e+00,8.361846208572387695e-03
1.731226752000000000e+09,6.780010880000000000e+08,5.604248642921447754e-01,-3.005418227985501289e-03,5.000045150518417358e-02,-1.121906680054962635e-03,5.568373203277587891e-01,3.201498184353113174e-03,0.000000000000000000e+00,1.086611673235893250e-02
1.731226752000000000e+09,7.787692800000000000e+08,6.101415753364562988e-01,-3.052391111850738525e-03,5.000035464763641357e-02,-7.864588988013565540e-04,5.568373203277587891e-01,3.201498184353113174e-03,0.000000000000000000e+00,1.086611673235893250e-02
1.731226752000000000e+09,8.788915200000000000e+08,6.598584055900573730e-01,-3.085314296185970306e-03,5.000028759241104126e-02,-5.513541982509195805e-04,5.568373203277587891e-01,3.201498184353113174e-03,0.000000000000000000e+00,1.086611673235893250e-02
1.731226752000000000e+09,9.788702080000000000e+08,7.095752358436584473e-01,-3.108390839770436287e-03,5.000023543834686279e-02,-3.865765174850821495e-04,5.568373203277587891e-01,3.201498184353113174e-03,0.000000000000000000e+00,1.086611673235893250e-02
1.731226752000000000e+09,8.555905600000000000e+07,7.592921257019042969e-01,-3.124565817415714264e-03,5.000019446015357971e-02,-2.710886474233120680e-04,7.258620858192443848e-01,5.135274492204189301e-03,0.000000000000000000e+00,1.182733755558729172e-02
1.731226752000000000e+09,2.121992320000000000e+08,8.090089559555053711e-01,-3.135903971269726753e-03,5.000016465783119202e-02,-1.901463692774996161e-04,7.258620858192443848e-01,5.135274492204189301e-03,0.000000000000000000e+00,1.182733755558729172e-02
1.731226752000000000e+09,2.979310080000000000e+08,8.587258458137512207e-01,-3.143851878121495247e-03,5.000014230608940125e-02,-1.334160042461007833e-04,7.258620858192443848e-01,5.135274492204189301e-03,0.000000000000000000e+00,1.182733755558729172e-02
1.731226752000000000e+09,3.899024640000000000e+08,9.084427356719970703e-01,-3.149423981085419655e-03,5.000012367963790894e-02,-9.365502774016931653e-05,8.948859572410583496e-01,7.163454778492450714e-03,0.000000000000000000e+00,1.211437117308378220e-02
1.731226752000000000e+09,4.869546880000000000e+08,9.578872919082641602e-01,-3.153099212795495987e-03,5.000013858079910278e-02,-6.739411765011027455e-05,8.948859572410583496e-01,7.163454778492450714e-03,0.000000000000000000e+00,1.211437117308378220e-02
1.731226752000000000e+09,5.859847680000000000e+08,9.796334505081176758e-01,-3.134576603770256042e-03,5.000224709510803223e-02,-1.853493414819240570e-02,8.948859572410583496e-01,7.163454778492450714e-03,0.000000000000000000e+00,1.211437117308378220e-02
1.731226752000000000e+09,6.860161920000000000e+08,9.800881743431091309e-01,-3.154853591695427895e-03,5.000153183937072754e-02,-1.065610349178314209e-01,9.665904045104980469e-01,7.795062847435474396e-03,0.000000000000000000e+00,-1.847475618124008179e-01
1.731226752000000000e+09,7.860534400000000000e+08,9.803457856178283691e-01,-3.193465527147054672e-03,5.000137537717819214e-02,-1.951925158500671387e-01,9.665904045104980469e-01,7.795062847435474396e-03,0.000000000000000000e+00,-1.847475618124008179e-01
1.731226752000000000e+09,8.906016640000000000e+08,9.805728793144226074e-01,-3.248350927606225014e-03,5.000127106904983521e-02,-2.837506830692291260e-01,9.665904045104980469e-01,7.795062847435474396e-03,0.000000000000000000e+00,-1.847475618124008179e-01
1.731226752000000000e+09,9.926245120000000000e+08,9.807671904563903809e-01,-3.313912311568856239e-03,5.000120401382446289e-02,-3.722443878650665283e-01,9.665904045104980469e-01,7.795062847435474396e-03,0.000000000000000000e+00,-1.847475618124008179e-01
1.731226752000000000e+09,9.789195200000000000e+07,9.809275269508361816e-01,-3.384247189387679100e-03,5.000116303563117981e-02,-4.606830477714538574e-01,9.673210382461547852e-01,7.535728625953197479e-03,0.000000000000000000e+00,-5.202304720878601074e-01
1.731226752000000000e+09,1.920765760000000000e+08,9.810535907745361328e-01,-3.453319892287254333e-03,5.000114813446998596e-02,-5.490764975547790527e-01,9.673210382461547852e-01,7.535728625953197479e-03,0.000000000000000000e+00,-5.202304720878601074e-01
1.731226752000000000e+09,2.888925120000000000e+08,9.811461567878723145e-01,-3.515139222145080566e-03,5.000115185976028442e-02,-6.374350786209106445e-01,9.673210382461547852e-01,7.535728625953197479e-03,0.000000000000000000e+00,-5.202304720878601074e-01
1.731226752000000000e+09,3.873927680000000000e+08,9.812070727348327637e-01,-3.563936101272702217e-03,5.000115931034088135e-02,-7.257692813873291016e-01,9.676568508148193359e-01,7.273255381733179092e-03,0.000000000000000000e+00,-8.550515174865722656e-01
1.731226752000000000e+09,4.873285760000000000e+08,9.812398552894592285e-01,-3.594939829781651497e-03,5.000117048621177673e-02,-8.140895366668701172e-01,9.676568508148193359e-01,7.273255381733179092e-03,0.000000000000000000e+00,-8.550515174865722656e-01
1.731226752000000000e+09,5.876243200000000000e+08,9.812467098236083984e-01,-3.602228593081235886e-03,5.000117793679237366e-02,-9.024077653884887695e-01,9.676568508148193359e-01,7.273255381733179092e-03,0.000000000000000000e+00,-8.550515174865722656e-01
1.731226752000000000e+09,6.872278400000000000e+08,9.812328219413757324e-01,-3.582133445888757706e-03,5.000117421150207520e-02,-9.907346963882446289e-01,9.676568508148193359e-01,7.273255381733179092e-03,0.000000000000000000e+00,-8.550515174865722656e-01
1.731226752000000000e+09,7.868398080000000000e+08,9.812033176422119141e-01,-3.531473688781261444e-03,5.000115931034088135e-02,-1.079081296920776367e+00,9.676874876022338867e-01,7.244158536195755005e-03,0.000000000000000000e+00,-1.189657688140869141e+00
1.731226752000000000e+09,8.869539200000000000e+08,9.811637401580810547e-01,-3.447948023676872253e-03,5.000113323330879211e-02,-1.167458653450012207e+00,9.676874876022338867e-01,7.244158536195755005e-03,0.000000000000000000e+00,-1.189657688140869141e+00
1.731226752000000000e+09,9.869224320000000000e+08,9.811201095581054688e-01,-3.330293809995055199e-03,5.000109970569610596e-02,-1.255877614021301270e+00,9.676874876022338867e-01,7.244158536195755005e-03,0.000000000000000000e+00,-1.189657688140869141e+00
1.731226752000000000e+09,8.685896000000000000e+07,9.810784459114074707e-01,-3.178334562107920647e-03,5.000105872750282288e-02,-1.344349265098571777e+00,9.676234126091003418e-01,7.589154876768589020e-03,0.000000000000000000e+00,-1.524535417556762695e+00
1.731226752000000000e+09,1.868298560000000000e+08,9.862300753593444824e-01,-2.867465279996395111e-02,4.999612271785736084e-02,-1.390084624290466309e+00,9.676234126091003418e-01,7.589154876768589020e-03,0.000000000000000000e+00,-1.524535417556762695e+00
1.731226752000000000e+09,2.867601920000000000e+08,9.953234195709228516e-01,-7.986464351415634155e-02,5.000086501240730286e-02,-1.392376661300659180e+00,9.676234126091003418e-01,7.589154876768589020e-03,0.000000000000000000e+00,-1.524535417556762695e+00
1.731226752000000000e+09,3.868168000000000000e+08,1.004119634628295898e+00,-1.287603974342346191e-01,5.000067874789237976e-02,-1.393223285675048828e+00,9.641909599304199219e-01,-1.230462417006492615e-01,0.000000000000000000e+00,-1.598756432533264160e+00
1.731226752000000000e+09,4.867713920000000000e+08,1.012872457504272461e+00,-1.776524186134338379e-01,5.000053346157073975e-02,-1.394066929817199707e+00,9.641909599304199219e-01,-1.230462417006492615e-01,0.000000000000000000e+00,-1.598756432533264160e+00
1.731226752000000000e+09,5.876473600000000000e+08,1.021569490432739258e+00,-2.265436500310897827e-01,4.999574646353721619e-02,-1.394854187965393066e+00,9.641909599304199219e-01,-1.230462417006492615e-01,0.000000000000000000e+00,-1.598756432533264160e+00
1.731226752000000000e+09,6.879445120000000000e+08,1.023378014564514160e+00,-2.503529489040374756e-01,5.000083148479461670e-02,-1.388837933540344238e+00,9.641909599304199219e-01,-1.230462417006492615e-01,0.000000000000000000e+00,-1.598756432533264160e+00
1.731226752000000000e+09,7.880247040000000000e+08,1.023415923118591309e+00,-2.505567967891693115e-01,5.000074952840805054e-02,-1.388923525810241699e+00,9.611423611640930176e-01,-2.281631380319595337e-01,0.000000000000000000e+00,-1.602858901023864746e+00
1.731226752000000000e+09,8.880065920000000000e+08,1.023458003997802734e+00,-2.503901422023773193e-01,5.000163242220878601e-02,-1.467901349067687988e+00,9.611423611640930176e-01,-2.281631380319595337e-01,0.000000000000000000e+00,-1.602858901023864746e+00
1.731226752000000000e+09,9.878592000000000000e+08,1.023641109466552734e+00,-2.548841536045074463e-01,5.000353977084159851e-02,-1.554408907890319824e+00,9.611423611640930176e-01,-2.281631380319595337e-01,0.000000000000000000e+00,-1.602858901023864746e+00
1.731226752000000000e+09,8.841373600000000000e+07,1.023895978927612305e+00,-3.001154661178588867e-01,5.000073835253715515e-02,-1.570554375648498535e+00,9.521157741546630859e-01,-2.729429900646209717e-01,0.000000000000000000e+00,-1.770033001899719238e+00
1.731226752000000000e+09,1.890163040000000000e+08,1.023906707763671875e+00,-3.500505089759826660e-01,5.000066012144088745e-02,-1.570566534996032715e+00,9.521157741546630859e-01,-2.729429900646209717e-01,0.000000000000000000e+00,-1.770033001899719238e+00
1.731226752000000000e+09,2.894544960000000000e+08,1.023916363716125488e+00,-3.997673392295837402e-01,5.000051483511924744e-02,-1.570635437965393066e+00,9.521157741546630859e-01,-2.729429900646209717e-01,0.000000000000000000e+00,-1.770033001899719238e+00
1.731226752000000000e+09,3.886280320000000000e+08,1.023923158645629883e+00,-4.494841992855072021e-01,5.000040680170059204e-02,-1.570683717727661133e+00,9.521157741546630859e-01,-2.729429900646209717e-01,0.000000000000000000e+00,-1.770033001899719238e+00
1.731226752000000000e+09,4.886684160000000000e+08,1.023927807807922363e+00,-4.992010295391082764e-01,5.000032112002372742e-02,-1.570717573165893555e+00,9.185203909873962402e-01,-4.388855695724487305e-01,0.000000000000000000e+00,-1.770681262016296387e+00
1.731226752000000000e+09,5.934903040000000000e+08,1.023931145668029785e+00,-5.489178895950317383e-01,5.000026151537895203e-02,-1.570741295814514160e+00,9.185203909873962402e-01,-4.388855695724487305e-01,0.000000000000000000e+00,-1.770681262016296387e+00
1.731226752000000000e+09,6.945943040000000000e+08,1.023933410644531250e+00,-5.986347794532775879e-01,5.000021308660507202e-02,-1.570757985115051270e+00,9.185203909873962402e-01,-4.388855695724487305e-01,0.000000000000000000e+00,-1.770681262016296387e+00
1.731226752000000000e+09,7.941980160000000000e+08,1.023935079574584961e+00,-6.483516693115234375e-01,5.000017955899238586e-02,-1.570769548416137695e+00,8.849488496780395508e-01,-6.045542955398559570e-01,0.000000000000000000e+00,-1.770765423774719238e+00
1.731226752000000000e+09,9.152980480000000000e+08,1.023936271667480469e+00,-6.980684995651245117e-01,5.000015348196029663e-02,-1.570777773857116699e+00,8.849488496780395508e-01,-6.045542955398559570e-01,0.000000000000000000e+00,-1.770765423774719238e+00
1.731226752000000000e+09,4.121969000000000000e+06,1.023936986923217773e+00,-7.477853894233703613e-01,5.000013485550880432e-02,-1.570783495903015137e+00,8.849488496780395508e-01,-6.045542955398559570e-01,0.000000000000000000e+00,-1.770765423774719238e+00
1.731226752000000000e+09,9.850044000000000000e+07,1.023937582969665527e+00,-7.975022792816162109e-01,5.000011995434761047e-02,-1.570787429809570312e+00,8.513692617416381836e-01,-7.702214121818542480e-01,0.000000000000000000e+00,-1.770790576934814453e+00
1.731226752000000000e+09,1.996469760000000000e+08,1.023937940597534180e+00,-8.472191691398620605e-01,5.000010877847671509e-02,-1.570790290832519531e+00,8.513692617416381836e-01,-7.702214121818542480e-01,0.000000000000000000e+00,-1.770790576934814453e+00
1.731226752000000000e+09,2.998960000000000000e+08,1.023938179016113281e+00,-8.969360589981079102e-01,5.000010132789611816e-02,-1.570792198181152344e+00,8.513692617416381836e-01,-7.702214121818542480e-01,0.000000000000000000e+00,-1.770790576934814453e+00
1.731226752000000000e+09,4.008742080000000000e+08,1.023939371109008789e+00,-9.466363191604614258e-01,5.000101402401924133e-02,-1.570815563201904297e+00,8.513692617416381836e-01,-7.702214121818542480e-01,0.000000000000000000e+00,-1.770790576934814453e+00
1.731226752000000000e+09,4.972068480000000000e+08,1.023938536643981934e+00,-9.963516592979431152e-01,5.000077560544013977e-02,-1.570809602737426758e+00,8.177872896194458008e-01,-9.358870387077331543e-01,0.000000000000000000e+00,-1.770797848701477051e+00
