# seconds, nanoseconds, trueX, trueY, trueZ, trueYaw, odomX, odomY, odomZ, odomYaw, pfX, pfY, pfZ, pfYaw
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,1.246898720000000000e+08,-6.984387524425983429e-03,6.647878308285726234e-06,5.000012367963790894e-02,8.200802767532877624e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,2.205451840000000000e+08,-7.017879746854305267e-03,6.662181021965807304e-06,5.000010132789611816e-02,7.885225386417005211e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,3.335687040000000000e+08,-7.052116561681032181e-03,6.687224413326475769e-06,5.000008270144462585e-02,7.569717581645818427e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,4.312156800000000000e+08,-7.086700759828090668e-03,6.689484507660381496e-06,5.000008642673492432e-02,7.396141882054507732e-06,-7.015131879597902298e-03,2.215266476923716255e-06,0.000000000000000000e+00,-7.346255006268620491e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,5.370551680000000000e+08,-7.126274518668651581e-03,7.982572242326568812e-06,5.000074952840805054e-02,4.834880382986739278e-05,-7.015131879597902298e-03,2.215266476923716255e-06,0.000000000000000000e+00,-7.346255006268620491e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,6.207991680000000000e+08,-7.160909473896026611e-03,7.992135579115711153e-06,5.000058934092521667e-02,4.792917025042697787e-05,-7.015131879597902298e-03,2.215266476923716255e-06,0.000000000000000000e+00,-7.346255006268620491e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,7.285485440000000000e+08,-7.194437552243471146e-03,8.012503712961915880e-06,5.000045523047447205e-02,4.742797682411037385e-05,-7.135266438126564026e-03,2.221825297965551727e-06,0.000000000000000000e+00,-3.940904207411222160e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,8.203079040000000000e+08,-7.228701375424861908e-03,8.041759429033845663e-06,5.000034719705581665e-02,4.696778341894969344e-05,-7.135266438126564026e-03,2.221825297965551727e-06,0.000000000000000000e+00,-3.940904207411222160e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731251328000000000e+09,9.269334400000000000e+08,-7.263305597007274628e-03,8.046419679885730147e-06,5.000028759241104126e-02,4.668023393605835736e-05,-7.135266438126564026e-03,2.221825297965551727e-06,0.000000000000000000e+00,-3.940904207411222160e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
