# seconds, nanoseconds, trueX, trueY, trueZ, trueYaw, odomX, odomY, odomZ, odomYaw
1.740410752000000000e+09,6.010973440000000000e+08,-7.634953856468200684e-01,2.507663488388061523e+00,4.999543353915214539e-02,1.654038190841674805e+00,-7.890887209214270115e-04,-4.663324798457324505e-04,0.000000000000000000e+00,-1.529707878944464028e-05
1.740410752000000000e+09,7.009079680000000000e+08,-7.634825706481933594e-01,2.507488727569580078e+00,4.999123513698577881e-02,1.654099941253662109e+00,-9.302610415033996105e-04,-6.242374656721949577e-04,0.000000000000000000e+00,-2.093669718306045979e-05
1.740410752000000000e+09,8.014143360000000000e+08,-7.634719610214233398e-01,2.507345438003540039e+00,4.999543353915214539e-02,1.654149889945983887e+00,-9.745839051902294159e-04,-5.920975236222147942e-04,0.000000000000000000e+00,-1.952281127159949392e-05
1.740410752000000000e+09,9.011604480000000000e+08,-7.634590864181518555e-01,2.507170677185058594e+00,4.999123513698577881e-02,1.654211521148681641e+00,-1.115265302360057831e-03,-7.488740375265479088e-04,0.000000000000000000e+00,-2.511976344976574183e-05
1.740410752000000000e+09,1.111055000000000000e+06,-7.634484767913818359e-01,2.507027626037597656e+00,4.999543353915214539e-02,1.654261469841003418e+00,-1.160481479018926620e-03,-7.169965538196265697e-04,0.000000000000000000e+00,-2.371337359363678843e-05
1.740410752000000000e+09,1.018666720000000000e+08,-7.634356021881103516e-01,2.506852626800537109e+00,4.999123513698577881e-02,1.654323220252990723e+00,-1.302608754485845566e-03,-8.727789390832185745e-04,0.000000000000000000e+00,-2.926585511886514723e-05
1.740410752000000000e+09,2.017820320000000000e+08,-7.634249329566955566e-01,2.506709575653076172e+00,4.999543353915214539e-02,1.654373168945312500e+00,-1.347143086604773998e-03,-8.393533062189817429e-04,0.000000000000000000e+00,-2.780215618258807808e-05
1.740410752000000000e+09,3.021826880000000000e+08,-7.634120583534240723e-01,2.506534814834594727e+00,4.999123513698577881e-02,1.654434800148010254e+00,-1.488712150603532791e-03,-9.952806867659091949e-04,0.000000000000000000e+00,-3.336182271596044302e-05
1.740410752000000000e+09,4.018474240000000000e+08,-7.634013891220092773e-01,2.506391525268554688e+00,4.999543353915214539e-02,1.654484748840332031e+00,-1.533173141069710255e-03,-9.629422565922141075e-04,0.000000000000000000e+00,-3.194125747540965676e-05
1.740410752000000000e+09,5.019858880000000000e+08,-7.633884549140930176e-01,2.506216764450073242e+00,4.999123513698577881e-02,1.654546499252319336e+00,-1.675456063821911812e-03,-1.118356361985206604e-03,0.000000000000000000e+00,-3.747786831809207797e-05
1.740410752000000000e+09,9.615377920000000000e+08,-7.633404731750488281e-01,2.505570411682128906e+00,4.999007284641265869e-02,1.654767155647277832e+00,-2.092540962621569633e-03,-1.331473118625581264e-03,0.000000000000000000e+00,-4.426708619575947523e-05
1.740410752000000000e+09,1.325057300000000000e+07,-7.633297443389892578e-01,2.505400657653808594e+00,4.999572783708572388e-02,1.654857635498046875e+00,-2.092540962621569633e-03,-1.331473118625581264e-03,0.000000000000000000e+00,-4.426708619575947523e-05
1.740410752000000000e+09,1.128947600000000000e+08,-7.633168101310729980e-01,2.505252361297607422e+00,4.999007284641265869e-02,1.654878735542297363e+00,-2.234202809631824493e-03,-1.486570690758526325e-03,0.000000000000000000e+00,-4.979218283551745117e-05
1.740410752000000000e+09,2.130506720000000000e+08,-7.633060216903686523e-01,2.505082607269287109e+00,4.999572783708572388e-02,1.654969215393066406e+00,-2.278581960126757622e-03,-1.454069977626204491e-03,0.000000000000000000e+00,-4.836766674998216331e-05
1.740410752000000000e+09,3.130068160000000000e+08,-7.632930874824523926e-01,2.504934310913085938e+00,4.999007284641265869e-02,1.654990434646606445e+00,-2.420524600893259048e-03,-1.609480939805507660e-03,0.000000000000000000e+00,-5.390346996136941016e-05
1.740410752000000000e+09,4.129563840000000000e+08,-7.632822990417480469e-01,2.504764556884765625e+00,4.999572783708572388e-02,1.655080914497375488e+00,-2.464848570525646210e-03,-1.576963113620877266e-03,0.000000000000000000e+00,-5.247901208349503577e-05
1.740410752000000000e+09,5.128596160000000000e+08,-7.632693052291870117e-01,2.504616498947143555e+00,4.999007284641265869e-02,1.655102014541625977e+00,-2.606753958389163017e-03,-1.732449512928724289e-03,0.000000000000000000e+00,-5.801740189781412482e-05
1.740410752000000000e+09,7.205452160000000000e+08,-7.632471323013305664e-01,2.504318475723266602e+00,4.999059811234474182e-02,1.655220150947570801e+00,-2.793151419609785080e-03,-1.855332171544432640e-03,0.000000000000000000e+00,-6.212741573108360171e-05
1.740410752000000000e+09,7.942979200000000000e+08,-7.632369399070739746e-01,2.504198074340820312e+00,4.999383538961410522e-02,1.655241727828979492e+00,-2.837894717231392860e-03,-1.822944381274282932e-03,0.000000000000000000e+00,-6.070755625842139125e-05
1.740410752000000000e+09,8.942746880000000000e+08,-7.632232904434204102e-01,2.504000663757324219e+00,4.999059811234474182e-02,1.655331730842590332e+00,-2.979848533868789673e-03,-1.978448592126369476e-03,0.000000000000000000e+00,-6.624549860134720802e-05
1.740410752000000000e+09,9.939065600000000000e+08,-7.632130980491638184e-01,2.503880023956298828e+00,4.999383538961410522e-02,1.655353426933288574e+00,-3.023928264155983925e-03,-1.945531112141907215e-03,0.000000000000000000e+00,-6.480793672380968928e-05
1.740410752000000000e+09,9.394695200000000000e+07,-7.631994485855102539e-01,2.503682613372802734e+00,4.999059811234474182e-02,1.655443429946899414e+00,-3.166001522913575172e-03,-2.101053483784198761e-03,0.000000000000000000e+00,-7.034566806396469474e-05
1.740410752000000000e+09,1.939503360000000000e+08,-7.631891965866088867e-01,2.503562211990356445e+00,4.999383166432380676e-02,1.655465006828308105e+00,-3.210347844287753105e-03,-2.068374771624803543e-03,0.000000000000000000e+00,-6.891696102684363723e-05
1.740410752000000000e+09,2.938835840000000000e+08,-7.631755471229553223e-01,2.503364801406860352e+00,4.999059811234474182e-02,1.655555009841918945e+00,-3.352284198626875877e-03,-2.224032301455736160e-03,0.000000000000000000e+00,-7.445995288435369730e-05
1.740410752000000000e+09,3.940596160000000000e+08,-7.631652951240539551e-01,2.503244161605834961e+00,4.999383166432380676e-02,1.655576586723327637e+00,-3.397029126062989235e-03,-2.191029954701662064e-03,0.000000000000000000e+00,-7.301776349777355790e-05
1.740410752000000000e+09,4.940920640000000000e+08,-7.631516456604003906e-01,2.503046989440917969e+00,4.999059811234474182e-02,1.655666708946228027e+00,-3.538626711815595627e-03,-2.346841385588049889e-03,0.000000000000000000e+00,-7.856746378820389509e-05
1.740410752000000000e+09,6.894919040000000000e+08,-7.631306052207946777e-01,2.502774715423583984e+00,4.999203979969024658e-02,1.655800104141235352e+00,-3.722303314134478569e-03,-2.465058350935578346e-03,0.000000000000000000e+00,-8.250608516391366720e-05
1.740410752000000000e+09,7.450574720000000000e+08,-7.631270885467529297e-01,2.502672910690307617e+00,4.999408498406410217e-02,1.655768990516662598e+00,-3.766996320337057114e-03,-2.432268112897872925e-03,0.000000000000000000e+00,-8.107335452223196626e-05
1.740410752000000000e+09,8.452934400000000000e+08,-7.631065845489501953e-01,2.502456903457641602e+00,4.999203979969024658e-02,1.655911803245544434e+00,-3.905635559931397438e-03,-2.582821063697338104e-03,0.000000000000000000e+00,-8.642834291094914079e-05
1.740410752000000000e+09,9.454323200000000000e+08,-7.631031274795532227e-01,2.502355098724365234e+00,4.999408498406410217e-02,1.655880689620971680e+00,-3.950552083551883698e-03,-2.550114411860704422e-03,0.000000000000000000e+00,-8.499856630805879831e-05
1.740410752000000000e+09,4.523432000000000000e+07,-7.630825638771057129e-01,2.502139091491699219e+00,4.999203979969024658e-02,1.656023502349853516e+00,-4.089441150426864624e-03,-2.700691577047109604e-03,0.000000000000000000e+00,-9.035314724314957857e-05
1.740410752000000000e+09,1.448517280000000000e+08,-7.630790472030639648e-01,2.502037048339843750e+00,4.999408498406410217e-02,1.655992269515991211e+00,-4.133953712880611420e-03,-2.668167697265744209e-03,0.000000000000000000e+00,-8.893241465557366610e-05
1.740410752000000000e+09,2.450572800000000000e+08,-7.630585432052612305e-01,2.501821279525756836e+00,4.999203979969024658e-02,1.656135201454162598e+00,-4.273170605301856995e-03,-2.818722277879714966e-03,0.000000000000000000e+00,-9.428449993720278144e-05
1.740410752000000000e+09,3.452224640000000000e+08,-7.630550265312194824e-01,2.501719236373901367e+00,4.999408498406410217e-02,1.656103968620300293e+00,-4.317928105592727661e-03,-2.786296652629971504e-03,0.000000000000000000e+00,-9.286721615353599191e-05
1.740410752000000000e+09,4.459943040000000000e+08,-7.630344629287719727e-01,2.501503229141235352e+00,4.999203979969024658e-02,1.656246900558471680e+00,-4.456673283129930496e-03,-2.936460543423891068e-03,0.000000000000000000e+00,-9.820533887250348926e-05
1.740410752000000000e+09,6.881095680000000000e+08,-7.630211710929870605e-01,2.501336812973022461e+00,4.999383166432380676e-02,1.656246423721313477e+00,-4.501627758145332336e-03,-2.903592539951205254e-03,0.000000000000000000e+00,-9.677068737801164389e-05
